PORT Code,SB no,SB date,Details,Current status,EGM no,ROSL,GST,Gateway,SB_Year
TUGLAKABAD ICD (INTKD6),7096937,2017/07/01,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0597024561  AALFP3921GCH001  4320940  01 JUL 2017 12:07  USCHI  10  4135  1237814  0  24756  0  24756  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  12 JUL 2017 00:07  Y  21243/2017  28 AUG 2017 00:08  Y ","EGM No. EGM Date Container No. Seal No. Error Message
Z17061407  2017-7-14 0.0.0.0  OOCU6870924  394223  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    06AXXXXXXXXC1ZH
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXX-18  2017-06-30  24756 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INMUN1  137976  2017-11-01 00:00:00.0  INMUN1  S ",2017
TUGLAKABAD ICD (INTKD6),7100605,2017/07/01,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0597024561  AALFP3921GCH001  4326197  01 JUL 2017 12:07  USCHI  4  786  356431.8  0  7129  0  7129  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 JUL 2017 00:07  Y  21243/2017  28 AUG 2017 00:08  Y ","EGM No. EGM Date Container No. Seal No. Error Message
R957660607  2017-7-6 0.0.0.0  TCNU3143079  393607  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    06AXXXXXXXXC1ZH
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXX-18  2017-06-30  7128 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INMUN1  131465  2017-07-14 00:00:00.0  INMUN1  S ",2017
TUGLAKABAD ICD (INTKD6),7183827,2017/07/06,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0506074994  AMMPS0835PCH001  4432951  06 JUL 2017 12:07  SGSIN  212  9380.412  1068035.08  0  10638  0  10638  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  07 JUL 2017 00:07  Y  21243/2017  28 AUG 2017 00:08  Y ","EGM No. EGM Date Container No. Seal No. Error Message
R247461607  2017-7-16 0.0.0.0  SEGU6019208  394241  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    07AXXXXXXXXM1Z2
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXXXX-18  2017-07-04  119771 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  N.A.  N.A.  N.A.  N.A. ",2017
TUGLAKABAD ICD (INTKD6),7603758,2017/07/26,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0505023954  AACFL6638BCH001  4917548  26 JUL 2017 12:07  THLCH  9  1095  444373  0  0  0  0  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  27 JUL 2017 00:07  R  N.A.  N.A.  Y ","EGM No. EGM Date Container No. Seal No. Error Message
R1817100108  2017-8-1 0.0.0.0  NYKU3719229  386464  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
NULL  NULL  NULL  NULL ","GSTIN    -    06AXXXXXXXXJ1ZG
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXXXX142  2017-07-24  48384 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  N.A.  N.A.  N.A.  N.A. ",2017
TUGLAKABAD ICD (INTKD6),7616933,2017/07/26,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0508003300  AHDPK8975CCH001  4932027  26 JUL 2017 12:07  NLRTM  10  3191  830072  0  16601  0  16601  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  28 JUL 2017 00:07  Y  21484/2017  07 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
R237360308  2017-8-3 0.0.0.0  FCIU8411137  396483  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    06AXXXXXXXXH1ZO
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXXXXX-18  2017-07-17  149412 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  132025  2017-07-24 00:00:00.0  INNSA1  S ",2017
TUGLAKABAD ICD (INTKD6),7623801,2017/07/27,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0596009488  ADFFS3281FCH001  4939510  27 JUL 2017 12:07  USOKD  1859  16630  8675968.81  0  94833  0  94833  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  28 JUL 2017 00:07  Y  22528/2017  10 NOV 2017 00:11  Y ","EGM No. EGM Date Container No. Seal No. Error Message
R857522807  2017-7-28 0.0.0.0  TCLU8863794  395965  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    09AXXXXXXXXC1Z4
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXXXXXXX-18  2017-07-13  433793 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INMUN1  132702  2017-08-04 00:00:00.0  INMUN1  S ",2017
TUGLAKABAD ICD (INTKD6),7638661,2017/07/27,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0506070484  AATPS3087NCH001  4955812  27 JUL 2017 12:07  VNSGN  26  5364.2  514985  0  0  0  0  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  31 JUL 2017 00:07  Y  N.A.  N.A.  Y ","EGM No. EGM Date Container No. Seal No. Error Message
J187520408  2017-8-4 0.0.0.0  BMOU2608183  397312  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
NULL  NULL  NULL  NULL ","GSTIN    -    06AXXXXXXXXL1ZE
Invoice Number Invoice Date IGST Paid(INR)
XXXXX/16  2017-07-27  145084 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  N.A.  N.A.  N.A.  N.A. ",2017
TUGLAKABAD ICD (INTKD6),7640213,2017/07/27,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0514019492  AABCS7195NCH001  4957545  27 JUL 2017 12:07  FIRAU  2  250  224989.94  0  902  0  902  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  29 JUL 2017 00:07  Y  21484/2017  07 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
T757460308  2017-8-3 0.0.0.0  CBHU9524016  397314  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    06AXXXXXXXXH2ZJ
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXX/18  2017-07-18  26869 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INMUN1  134053  2017-08-28 00:00:00.0  INMUN1  ST ",2017
TUGLAKABAD ICD (INTKD6),7641404,2017/07/27,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0508003300  AHDPK8975CCH001  4958843  27 JUL 2017 12:07  SGSIN  6  2187  444246  0  8885  0  8885  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  29 JUL 2017 00:07  Y  21484/2017  07 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
T957180208  2017-8-2 0.0.0.0  NYKU5798417  396296  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    06AXXXXXXXXH1ZO
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXXXXX-18  2017-07-25  79964 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  131685  2017-07-18 00:00:00.0  INNSA1  S ",2017
TUGLAKABAD ICD (INTKD6),7641415,2017/07/27,"IEC CHA No. Job No. Job Date Port of Discharge Total Package Gross Weight (Kg) FOB(INR) Total Cess (INR) Drawback STR Total (DBK+STR) CIN NO. CIN DT. Reward Flag
0508003300  AHDPK8975CCH001  4958864  27 JUL 2017 12:07  SGSIN  38  18164  3836670  0  76733  0  76733  N.A.  N.A.  Click here to view item wise reward details ","Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  29 JUL 2017 00:07  Y  21484/2017  07 SEP 2017 00:09  Y ","EGM No. EGM Date Container No. Seal No. Error Message
T957180208  2017-8-2 0.0.0.0  NYKU5798417  396296  N.A. ","ROSL Availed Amount(INR) Scroll Number Scroll Date
N  0  ROSL NOT CLAIMED  ROSL NOT CLAIMED ","GSTIN    -    06AXXXXXXXXH1ZO
Invoice Number Invoice Date IGST Paid(INR)
XXXXXXXXXXXX-18  2017-07-25  690600 ","AWB No. Gateway Port Gateway EGM No. Gateway EGM Date Gateway Site ID Error Code
N.A.  INNSA1  131685  2017-07-18 00:00:00.0  INNSA1  S ",2017
